NombreEmpresa,NumExpediente,IdentificacionFiscal,TipoDeContrato,Municipio,Provincia,Pais,DT_RowId
"LOPEZ MORALES, VICENTE",35831,B15141054,Servicios,ABEGONDO,A CORUÑA,ESPAÑA,wQyl4mdCE2qDLkDteKA4hg..
"REGIDOR HERRERO, JAVIER",80444,B15032287,Servicios,AMES,A CORUÑA,ESPAÑA,dwZYYfFdb0ddPwBKNmNgCA..
"CORTIJO DOMINGUEZ, BENJAMIN",31475,B15032287,Obras,AMES,A CORUÑA,ESPAÑA,CZZtqZHrfVYZATAr7jryCg..
"MANZANILLA SANCHEZ, EDUARDO",23869,B15075732,Servicios,AMES,A CORUÑA,ESPAÑA,B6XH0gW5rPx-LRZthqlt3w..
"REBOLLO MAZARIO, CARMEN",40034,B15257066,Servicios,AMES,A CORUÑA,ESPAÑA,OCUe6a37f04ajP2bk0E9dQ..
"RONDAN QUIROS, RICARDO",75197,B15279359,Obras,AMES,A CORUÑA,ESPAÑA,EywSVXGbuuWxA8vC-jTQ0g..
"ESTEBAN-MANZANARES DEL CERRO, MARIA JOSE",40792,B15360712,Obras,AMES,A CORUÑA,ESPAÑA,1hQ9GB86c1sS-zGWGDm7AA..
"SANCHEZ DE CASTRO HERNANDEZ, MOISES",39497,B15360712,Servicios,AMES,A CORUÑA,ESPAÑA,fYPCAFeEMwREOYT1zrFF7g..
"DIAZ MATEOS, JOSE MANUEL",60887,B15660541,Servicios,AMES,A CORUÑA,ESPAÑA,LrhgqtA5dn_G423fkWlqGA..
"MORA MARTIN, JOSE ANTONIO",60581,B15682594,Servicios,AMES,A CORUÑA,ESPAÑA,eZjGHp8BnaU-libCVMnbbg..
"FERNANDEZ DE LA HOZ MEDINA, JESUS",67227,B15747652,Servicios,AMES,A CORUÑA,ESPAÑA,ryMYPYEcm4LRJtPuR7PO0A..
"SANCHEZ DE LA LLAVE, JOSE MANUEL",57935,B15851660,Obras,AMES,A CORUÑA,ESPAÑA,Yc1JBOcBqykV7zHkt3GHzQ..
"GONZALEZ GOMEZ, SALVADOR",80731,B70067541,Obras,AMES,A CORUÑA,ESPAÑA,nH1RvpYOwaTrxAiA7jC-ew..
"AVIS FERNANDEZ, LAURA VICTORIA",81569,B70067541,Servicios,AMES,A CORUÑA,ESPAÑA,KaNLBYfuaF819EnTb7OB-g..
"MADRIGAL GARCIA, JOSE LUIS",72159,B70180336,Obras,AMES,A CORUÑA,ESPAÑA,mnXKffoywb5iNxdgCfBlDA..
"NOVA ORZAEZ, ANTONIO",79909,B70240320,Servicios,AMES,A CORUÑA,ESPAÑA,SfBv0jXdtp6YW-Nwd085Rg..
"CANTOS PADILLA, ISABEL MARIA",77394,B70123443,Servicios,ARANGA,A CORUÑA,ESPAÑA,D30-Tq8l7xwFiGNuFwkaag..
