COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
01004,Ambérieu-en-Bugey,54.224999999999994,29.05,12030,19267.5,27230,0.8025,6582.5,10620,13472.5,16632.5,22010,25392.5,29197.5,35860,5.875,7.95,0.35975,67.25,60.65,3.35,3.25,26.175,6.575,0
01033,Valserhône,50.85,23.71666666666667,13941.666666666666,21980,32690,0.8583333333333334,7683.333333333333,12071.666666666666,15606.666666666666,18808.333333333332,25576.666666666668,30060,36165,47573.333333333336,6.583333333333333,8.216666666666667,0.363,74.18333333333334,68.65,3.583333333333333,1.95,22.666666666666664,3.1500000000000004,0
01053,Bourg-en-Bresse,NA,NA,11235,18158.333333333332,26310,0.8577777777777778,5185.555555555556,9645,12746.111111111111,15520,20910.555555555555,24192.222222222223,28828.88888888889,36458.88888888889,9.533333333333333,10.266666666666667,0.37727777777777777,61.80555555555556,55.06111111111111,3.7222222222222223,3.022222222222222,34.26111111111111,3.9333333333333336,0
01173,Gex,63.7,15.9,19360,34306.666666666664,53420,1.0033333333333334,8626.666666666666,16016.666666666666,22486.666666666668,28553.333333333332,41323.333333333336,49396.666666666664,59153.333333333336,76546.66666666667,8.933333333333334,10.7,0.3913333333333333,86.8,82,2.9,1.9,10.2,3,0
01283,Oyonnax,46.22,NA,10402,16473,23433,0.818,5564,9001,11614,14117,19015,21746,25539,32619,6.3500000000000005,8.55,0.36970000000000003,67.1,59.84,4.79,2.47,28.9,4,0
01354,Saint-Genis-Pouilly,43.13333333333333,30.6,10166.666666666666,26113.333333333332,47610,1.4466666666666668,263.3333333333333,7086.666666666667,13180,19176.666666666668,33636.666666666664,42426.666666666664,53670,70710,NA,59.03333333333333,0.488,80.1,75.53333333333333,2.7333333333333334,1.8333333333333333,17.266666666666666,2.6333333333333333,0
02168,Château-Thierry,NA,NA,10566.666666666666,16901.666666666668,24891.666666666668,0.8966666666666667,4941.666666666667,8916.666666666666,12011.666666666666,14675,19713.333333333332,22916.666666666668,27221.666666666668,35001.666666666664,11.8,12.016666666666666,0.382,65.51666666666667,56.36666666666667,4.55,4.6,30.6,3.8833333333333333,0
02173,Chauny,43.266666666666666,37.6,9223.333333333334,16676.666666666668,24320,0.9366666666666666,3213.3333333333335,7370,10996.666666666666,14113.333333333334,19516.666666666668,22640,26520,34243.333333333336,23.4,16.3,0.39666666666666667,61.4,53.233333333333334,3.6,4.566666666666666,35.233333333333334,3.3666666666666667,0
02408,Laon,NA,41.57,8529,15865,23696,1.046,3059,6858,10114,12999,18697,21757,26147,33536,NA,64.42,0.4108,60.769999999999996,NA,NA,NA,36.06,3.17,0
02691,Saint-Quentin,NA,NA,8344.8,15964.8,24306.4,1.0656,2295.2,6609.2,9922.8,13114.8,18899.2,22289.6,26664,34404.8,NA,51.02,0.42184,60.756,NA,NA,NA,35.72,3.524,0
02722,Soissons,NA,NA,9066.153846153846,15763.846153846154,23515.384615384617,1.003076923076923,3683.846153846154,7454.615384615385,10629.23076923077,13165.384615384615,18423.846153846152,21573.846153846152,25987.69230769231,34038.46153846154,NA,32.87692307692308,0.4117692307692308,61.684615384615384,NA,NA,NA,33.43846153846154,4.876923076923077,0.07692307692307693
