IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
010040101,Les Pérouses-Triangle d'Activités,01004,Ambérieu-en-Bugey,49.5,31.4,10870,18150,25590,0.81,5720,9490,12620,15620,20840,23780,27350,32850,5.7,7.3,0.334,68,62.1,3.2,2.7,28.1,3.9,0
010040102,Longeray-Gare,01004,Ambérieu-en-Bugey,46.8,40.5,8620,15740,23490,0.94,3880,7400,9690,12870,18450,21760,25120,31020,8,9.8,0.369,70.2,63.1,4.5,2.6,27,2.8,0
010040201,Centre-Saint-Germain-Vareilles,01004,Ambérieu-en-Bugey,53,29.5,11780,18600,26550,0.79,6490,10290,13120,16290,21180,24750,28280,34940,5.4,7.2,0.344,67.6,60,3.3,4.3,28.6,3.8,0
010040202,Tiret-Les Allymes,01004,Ambérieu-en-Bugey,67.6,14.8,16850,24580,33290,0.67,10240,15300,18460,21750,27570,31280,36040,44630,4.4,7.5,0.392,63.2,57.4,2.4,3.4,21,15.8,0
010330102,Centre Ville,01033,Valserhône,48.7,29.6,11300,19510,29150,0.91,5340,9660,13110,16080,23000,27030,31940,42020,7.9,10,0.383,72.4,65.8,4.2,2.4,23.9,3.7,0
010330103,Lancrans-Coupy-Vanchy,01033,Valserhône,53.5,20.9,14480,23700,35050,0.87,8180,12780,16280,19670,27180,32270,38340,48910,6,7.9,0.362,76.1,70.7,3.9,1.5,19.7,4.2,0
010330201,Arc Vouvray-Gare-Châtillon,01033,Valserhône,53.8,20,15200,23730,35470,0.85,7970,12980,17040,20700,27540,32150,39930,56090,7,8.1,0.369,72.5,66.4,3.3,2.8,24.4,3.1,0
010330202,Plateau de Musinens,01033,Valserhône,44.7,33.7,10470,17600,26700,0.92,5240,8510,11670,14780,20850,24500,29010,39700,7.6,9.6,0.382,68.8,62.9,4.1,1.8,30,1.2,0
010330301,Arlod,01033,Valserhône,43.7,28.3,12340,19420,28920,0.85,6270,10520,13990,16810,22460,26840,33090,41190,6.6,8,0.36,78.6,74.2,3.6,0.8,19.6,1.8,0
010330401,Châtillon-en-Michaille,01033,Valserhône,60.7,9.8,19860,27920,40850,0.75,13100,17980,21550,24810,32430,37570,44680,57530,4.4,5.7,0.322,76.7,71.9,2.4,2.4,18.4,4.9,0
010530101,Centre Ville,01053,Bourg-en-Bresse,57.5,29.3,11360,19110,29200,0.93,5640,9490,13100,16200,21820,26560,32480,41050,7.3,11.8,0.416,70.4,62.1,3.2,5.1,22.5,7.1,0
010530102,Champ de Foire,01053,Bourg-en-Bresse,59.1,25.4,12670,20330,28850,0.8,6720,11060,14630,17480,23520,26720,31100,37710,5.6,7.9,0.35,53,47.9,2.7,2.4,42.1,4.9,0
010530103,Préfecture,01053,Bourg-en-Bresse,57.1,24.3,13160,21320,32350,0.9,4820,10750,15150,18130,25310,29680,35700,49490,10.3,13.8,0.445,59.1,50.7,3.1,5.3,30.6,10.3,0
010530201,Citadelle,01053,Bourg-en-Bresse,57,26.8,12480,19680,27420,0.76,5880,10910,13530,16630,22100,25290,29920,38230,6.5,8.6,0.375,63.2,57.8,2.9,2.5,32.4,4.4,0
010530202,Mail,01053,Bourg-en-Bresse,43.4,44.6,7590,14890,23100,1.04,2440,6120,9180,11710,17650,20990,25190,32400,13.3,14.4,0.414,66.9,58.7,5.2,3,29.2,3.9,0
010530203,Peloux,01053,Bourg-en-Bresse,58.3,27.8,12130,19440,27190,0.77,5540,10490,14040,16830,22040,25060,30070,38230,6.9,8.3,0.352,66.8,61.2,3.1,2.5,30.1,3.1,0
010530301,Gare,01053,Bourg-en-Bresse,64,17.7,15770,23040,32480,0.73,9000,13820,17430,19980,26350,29860,35850,47230,5.2,7.6,0.363,65.5,59.7,2.6,3.2,29.6,4.9,0
010530302,Brou,01053,Bourg-en-Bresse,51.9,32.7,10590,18200,26280,0.86,4960,8660,12130,15690,20930,24450,29250,38170,7.7,10.4,0.4,65.2,58.5,3.2,3.5,31.9,2.9,0
010530401,Vennes Ouest,01053,Bourg-en-Bresse,50.1,31.2,11070,18150,27100,0.88,5480,9640,12640,15470,21080,24690,30200,37300,6.8,8.2,0.356,62.3,55,2.9,4.4,35.2,2.5,0
010530402,Vennes Est,01053,Bourg-en-Bresse,64.9,15.9,16020,22670,29480,0.59,10340,14520,17420,20250,25040,27910,32620,39120,3.8,4.9,0.291,62.5,57,3.3,2.2,35.2,2.3,0
010530501,Baudières,01053,Bourg-en-Bresse,63.1,16.6,16300,23360,31950,0.67,8860,14500,18240,20490,25820,29210,34630,43200,4.9,6.8,0.355,51.3,45.7,1.6,4,43.8,4.9,0
010530502,Sardières,01053,Bourg-en-Bresse,55.3,27.8,11690,19780,29560,0.9,6350,9940,13690,16850,22970,26850,32910,42100,6.6,9,0.394,58.2,51.3,2.4,4.5,35.2,6.6,0
010530503,Croix Blanche,01053,Bourg-en-Bresse,29,59.2,6150,10900,17450,1.04,750,5150,6910,8810,13150,15490,18890,23500,31.3,16.9,0.422,68.8,61.1,6.8,0.9,29.3,1.9,0
010530601,Pont des Chèvres,01053,Bourg-en-Bresse,36.8,51.1,6530,12660,20000,1.06,1680,5420,7680,10550,15290,18190,22550,28240,16.9,15.5,0.403,56.3,49.7,5,1.6,41.8,1.9,0
010530602,Reyssouze Ouest,01053,Bourg-en-Bresse,34.3,54.9,6220,11480,18670,1.08,2340,5390,6990,9220,14400,16990,20340,25600,10.9,11.9,0.394,56.8,48.6,6.1,2.1,41.2,2,0
010530603,Reyssouze Est,01053,Bourg-en-Bresse,26.9,63.1,6170,10390,16610,1,1730,4670,7180,8670,12290,15130,17850,22310,12.9,13.3,0.388,62.8,54.2,8,0.6,36.1,1.1,0
010530604,Cenord-Grand Challes,01053,Bourg-en-Bresse,NA,NA,13330,20980,28410,0.72,3850,12010,15240,18740,23600,26690,29630,37020,9.6,8.5,0.331,54.4,48.8,2,3.6,42.5,3.1,0
010530701,Granges Bardes-Alagnier,01053,Bourg-en-Bresse,59.2,24.7,13000,20470,27480,0.71,6960,11070,14250,17660,23030,25700,29740,35360,5.1,7,0.342,69,63.1,2.9,3,28,3,0
011730101,Centre,01173,Gex,62.3,17.6,16950,29660,49220,1.09,7550,14430,19740,25000,36340,45450,54400,72700,9.6,11.5,0.407,86.5,81.2,2.9,2.4,9.7,3.8,0
011730102,Ouest,01173,Gex,63.9,15.4,19490,34560,54300,1.01,8590,16350,22230,28350,41190,50030,61000,75480,8.8,10.2,0.384,85.5,81.5,2.5,1.5,11.3,3.2,0
011730103,Est,01173,Gex,64.9,14.7,21640,38700,56740,0.91,9740,17270,25490,32310,46440,52710,62060,81460,8.4,10.4,0.383,88.4,83.3,3.3,1.8,9.6,2,0
012830102,ZUS Centre,01283,Oyonnax,30.8,55.4,7460,12010,16950,0.79,4230,6530,8320,10000,14020,15910,18530,22910,5.4,7.1,0.331,70.8,62.5,7.5,0.8,28.4,0.8,0
012830103,ZUS Nord-Est,01283,Oyonnax,33.6,52,7640,12400,18560,0.88,3880,6310,8360,10360,14700,17160,19760,24680,6.4,8.2,0.358,62.5,55.8,5.5,1.2,36.6,0.9,0
