insee;nom;Pop surexposée;Rang
69003;Albigny-sur-Saône;10;5-10
69029;Bron;>20;20-100
69033;Cailloux-sur-Fontaines;1;0-1
69034;Caluire-et-Cuire;20;10-20
69040;Champagne-au-Mont-d'Or;20;10-20
69044;Charbonnières-les-Bains;10;5-10
69046;Charly;5;1-5
69271;Chassieu;10;5-10
69063;Collonges-au-Mont-d'Or;5;1-5
69273;Corbas;5;1-5
69068;Couzon-au-Mont-d'Or;5;1-5
69069;Craponne;10;5-10
69071;Curis-au-Mont-d'Or;1;0-1
69072;Dardilly;10;5-10
69275;Décines-Charpieu;10;5-10
69081;Écully;>20;20-100
69276;Feyzin;20;10-20
69085;Fleurieu-sur-Saône;10;5-10
69088;Fontaines-sur-Saône;1;0-1
69087;Fontaines-Saint-Martin;10;5-10
69089;Francheville;20;10-20
69278;Genay;10;5-10
69091;Givors;20;10-20
69096;Grigny;10;5-10
69100;Irigny;10;5-10
69279;Jonage;5;1-5
69142;La Mulatière;>20;20-100
69250;La Tour-de-Salvagny;5;1-5
69116;Limonest;20;10-20
69117;Lissieu;20;10-20
69123;Lyon;>20;20-100
69127;Marcy-l'Étoile;20;10-20
69282;Meyzieu;5;1-5
69283;Mions;5;1-5
69284;Montanay;5;1-5
69143;Neuville-sur-Saône;20;10-20
69149;Oullins;20;10-20
69152;Pierre-Bénite;10;5-10
69153;Poleymieux-au-Mont-d'Or;1;0-1
69163;Quincieux;10;5-10
69286;Rillieux-la-Pape;10;5-10
69168;Rochetaillée-sur-Saône;20;10-20
69191;Saint-Cyr-au-Mont-d'Or;1;0-1
69194;Saint-Didier-au-Mont-d'Or;10;5-10
69202;Sainte-Foy-lès-Lyon;5;1-5
69199;Saint-Fons;10;5-10
69204;Saint-Genis-Laval;5;1-5
69205;Saint-Genis-les-Ollières;1;0-1
69207;Saint-Germain-au-Mont-d'Or;5;1-5
69290;Saint-Priest;10;5-10
69233;Saint-Romain-au-Mont-d'Or;5;1-5
69292;Sathonay-Camp;1;0-1
69293;Sathonay-Village;5;1-5
69296;Solaize;1;0-1
69244;Tassin-la-Demi-Lune;>20;20-100
69256;Vaulx-en-Velin;20;10-20
69259;Vénissieux;20;10-20
69260;Vernaison;10;5-10
69266;Villeurbanne;>20;20-100
